type1,classifier1,class1,type2,classifier2,class2,overlap
SourcesOfInterest,FINK_PORTAL,QSO,SourcesOfInterest,FEATURES,FC-4,1.0
SourcesOfInterest,FINK_PORTAL,RGB*,SourcesOfInterest,FEATURES,FC-4,1.0
SourcesOfInterest,FINK_PORTAL,RSCVnV*,SourcesOfInterest,FEATURES,FC-4,1.0
SourcesOfInterest,FINK_PORTAL,Solar System MPC,SourcesOfInterest,FEATURES,FC-4,1.0
SourcesOfInterest,FINK_PORTAL,S*,SourcesOfInterest,FINK_PORTAL,S*,1.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FINK_PORTAL,Solar System MPC,1.0
AlertsOfInterest,FEATURES,FC-1,AlertsOfInterest,FINK_PORTAL,EclBin,1.0
AlertsOfInterest,FEATURES,FC-2,AlertsOfInterest,FEATURES,FC-2,1.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FINK_PORTAL,GtowardsGroup,1.0
AlertsOfInterest,FINK_PORTAL,Kilonova candidate,AlertsOfInterest,FINK_PORTAL,Kilonova candidate,1.0
SourcesOfInterest,FINK_PORTAL,BlueSG*,SourcesOfInterest,FINK_PORTAL,BlueSG*,1.0
SourcesOfInterest,FINK_PORTAL,EclBin,SourcesOfInterest,FEATURES,FC-1,1.0
SourcesOfInterest,FINK_PORTAL,PulsV*,SourcesOfInterest,FEATURES,FC-1,1.0
SourcesOfInterest,FINK_PORTAL,Star,SourcesOfInterest,FEATURES,FC-1,1.0
SourcesOfInterest,FINK_PORTAL,V*,SourcesOfInterest,FEATURES,FC-1,1.0
SourcesOfInterest,FINK_PORTAL,EclBin_Candidate,SourcesOfInterest,FEATURES,FC-3,1.0
SourcesOfInterest,FINK_PORTAL,HB*_Candidate,SourcesOfInterest,FINK_PORTAL,HB*_Candidate,1.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FINK_PORTAL,LP*_Candidate,1.0
SourcesOfInterest,FINK_PORTAL,SN,SourcesOfInterest,FINK_PORTAL,SN,1.0
AlertsOfInterest,FINK_PORTAL,HB*_Candidate,AlertsOfInterest,FINK_PORTAL,HB*_Candidate,1.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FINK_PORTAL,EclBin,1.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FINK_PORTAL,PulsV*,1.0
AlertsOfInterest,FINK_PORTAL,BlueSG*,AlertsOfInterest,FINK_PORTAL,BlueSG*,1.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FINK_PORTAL,CV*_Candidate,1.0
AlertsOfInterest,FINK_PORTAL,EclBin_Candidate,AlertsOfInterest,FINK_PORTAL,EclBin_Candidate,1.0
AlertsOfInterest,FEATURES,FC-3,AlertsOfInterest,FINK_PORTAL,EclBin_Candidate,1.0
AlertsOfInterest,FINK_PORTAL,EclBin,AlertsOfInterest,FEATURES,FC-1,1.0
AlertsOfInterest,FINK_PORTAL,PulsV*,AlertsOfInterest,FEATURES,FC-1,1.0
AlertsOfInterest,FINK_PORTAL,Star,AlertsOfInterest,FEATURES,FC-1,1.0
AlertsOfInterest,FINK_PORTAL,V*,AlertsOfInterest,FEATURES,FC-1,1.0
AlertsOfInterest,FINK_PORTAL,AGN_Candidate,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,CV*_Candidate,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,LP*_Candidate,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,LPV*,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,LongPeriodV*_Candidate,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,QSO,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,RGB*,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,RSCVnV*,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FINK_PORTAL,Solar System MPC,AlertsOfInterest,FEATURES,FC-4,1.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FINK_PORTAL,LPV*,1.0
AlertsOfInterest,FINK_PORTAL,SB*,AlertsOfInterest,FINK_PORTAL,SB*,1.0
SourcesOfInterest,FINK_PORTAL,C*,SourcesOfInterest,FINK_PORTAL,C*,1.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FINK_PORTAL,CataclyV*,1.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FINK_PORTAL,LPV*,1.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FINK_PORTAL,RGB*,1.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FINK_PORTAL,RSCVnV*,1.0
SourcesOfInterest,FEATURES,FC-4,SourcesOfInterest,FINK_PORTAL,RSCVnV*,1.0
SourcesOfInterest,FEATURES,FC-1,SourcesOfInterest,FINK_PORTAL,Star,1.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FINK_PORTAL,CataclyV*,1.0
AlertsOfInterest,FINK_PORTAL,EclBin_Candidate,AlertsOfInterest,FEATURES,FC-3,1.0
AlertsOfInterest,FEATURES,FC-1,AlertsOfInterest,FINK_PORTAL,PulsV*,1.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FINK_PORTAL,RSCVnV*,1.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FINK_PORTAL,RSCVnV*,1.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FINK_PORTAL,V*,1.0
AlertsOfInterest,FEATURES,FC-1,AlertsOfInterest,FINK_PORTAL,V*,1.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FINK_PORTAL,EB*_Candidate,1.0
SourcesOfInterest,FEATURES,FC-0,SourcesOfInterest,FINK_PORTAL,RSCVn,1.0
SourcesOfInterest,FINK_PORTAL,RSCVn,SourcesOfInterest,FINK_PORTAL,RSCVn,1.0
SourcesOfInterest,FINK_PORTAL,SB*,SourcesOfInterest,FINK_PORTAL,SB*,1.0
SourcesOfInterest,FINK_PORTAL,deltaCep,SourcesOfInterest,FINK_PORTAL,deltaCep,1.0
AlertsOfInterest,FEATURES,FC-0,AlertsOfInterest,FINK_PORTAL,EB*_Candidate,1.0
AlertsOfInterest,FINK_PORTAL,CataclyV*,AlertsOfInterest,FEATURES,FC-0,1.0
AlertsOfInterest,FINK_PORTAL,EB*_Candidate,AlertsOfInterest,FEATURES,FC-0,1.0
AlertsOfInterest,FINK_PORTAL,GtowardsGroup,AlertsOfInterest,FEATURES,FC-0,1.0
AlertsOfInterest,FINK_PORTAL,RSCVn,AlertsOfInterest,FEATURES,FC-0,1.0
AlertsOfInterest,FINK_PORTAL,RSCVnV*,AlertsOfInterest,FEATURES,FC-0,1.0
AlertsOfInterest,FINK_PORTAL,V*,AlertsOfInterest,FEATURES,FC-0,1.0
AlertsOfInterest,FINK_PORTAL,S*,AlertsOfInterest,FINK_PORTAL,S*,1.0
SourcesOfInterest,FINK_PORTAL,Kilonova candidate,SourcesOfInterest,FINK_PORTAL,Kilonova candidate,1.0
AlertsOfInterest,FINK_PORTAL,delSctV*,AlertsOfInterest,FINK_PORTAL,delSctV*,1.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FINK_PORTAL,LP*_Candidate,1.0
AlertsOfInterest,FEATURES,FC-4,AlertsOfInterest,FINK_PORTAL,QSO,1.0
AlertsOfInterest,FINK_PORTAL,deltaCep,AlertsOfInterest,FINK_PORTAL,deltaCep,1.0
